SampleName	GroupName	Excluded
Adrenal_a	Other	
Adrenal_b	Other	
Adrenal_c	Other	
Astrocytes	EXCLUDE	
Bladder_a	Other	
Bladder_b	Other	
Bladder_c	Other	
Bone_marrow	Other	
Brain_Endothelium	Other	
Brown_Adipose	Other	
CeliacSM_Ganglion_Snap25	Neural	
Cerebellum_a	Neural	
Cerebellum_b	Neural	
Cerebellum_c	Neural	
CL_3T3_a	Other	
CL_3T3_b	Other	
CL_C2C12_a	Other	
CL_C2C12_b	Other	
CL_CH12	Other	
CL_MEL	Other	
CL_N2A_b	EXCLUDE	
CL_N2A_c	EXCLUDE	
Colon_a	Other	
Colon_b	Other	
Colon_c	Other	
Cones_a	Other	
Cortex_a	Other	
Cortex_b	Other	
Dermis_a	Other	
Dermis_b	Other	
Dermis_c	Other	
DRoot_Ganglion_Snap25	Neural	
Embr_16C_c_A	Other	
Embr_16C_c_B	Other	
Embr_16C_c_C	Other	
Embr_2C_a	Other	
Embr_2C_b	Other	
Embr_2C_c	Other	
Embr_4C_a	Other	
Embr_4C_b	Other	
Embr_8C_a	Other	
Embr_8C_b	Other	
Embr_Brain_E11_5	EXCLUDE	
Embr_Brain_E14_5	EXCLUDE	
Embr_Cortex_E17_5	EXCLUDE	
Embr_E11_FNP	EXCLUDE	
Embr_E11_Md	EXCLUDE	
Embr_E11_Mx	EXCLUDE	
Embr_E11_PA2	EXCLUDE	
Embr_ICM_early_c_A	Other	
Embr_ICM_early_c_B	Other	
Embr_ICM_mid_c_A	Other	
Embr_ICM_mid_c_B	Other	
Embr_Limb_E14_5	Other	
Embr_Liver_E14_5	Other	
Embr_TE_early_c_A	Other	
Embr_TE_late_c_A	Other	
Embr_TE_late_c_B	Other	
Embr_TE_mid_c_A	Other	
Embr_TE_mid_c_B	Other	
Embr_TE_mid_c_C	Other	
Epidermis_a	Other	
Epidermis_b	Other	
Epidermis_c	Other	
Erythroblasts_a	Other	
Erythroblasts_b	Other	
ESC_CGR8	Other	
ESC_D3	Other	
ESC_E14	Other	
ESC_J1	Other	
ESC_OS25_TT2	Other	
ESC_v65	Other	
Eye_a	Other	
Eye_b	Other	
Eye_c	Other	
FatPad_a	Other	
FatPad_b	Other	
Frontal_Lobe	Neural	
Heart_a	Other	
Heart_b	Other	
Heart_c	Other	
Heart_d	Other	
Hippocampus	Neural	
HSC_a	Other	
HSC_b	Other	
HSC_c	Other	
Hypothalamus	Neural	
Intestine_small_a	Other	
Intestine_small_b	Other	
iPS_a	Other	
iPS_b	Other	
Keratinocytes	Other	
Kidney_a	Other	
Kidney_b	Other	
Kidney_c	Other	
Liver_a	Other	
Liver_b	Other	
Liver_c	Other	
Lung_a	Other	
Lung_c	Other	
Lung_d	Other	
Lymph_node_a	Other	
Lymph_node_b	Other	
MammGland_a	Other	
MammGland_b	Other	
MammGland_c	Other	
MEF_a	Other	
MEF_b	Other	
MEF_c	Other	
Microglia	Other	
Monocytes_ab	Other	
Monocytes_c	Other	
Muscle_a	Other	
Muscle_b	Other	
Muscle_c	Other	
Myelinated_Oligod	EXCLUDE	
Neurons_a	Neural	
Neurons_b	Neural	
Neurons_KCl_0h	Neural	
Neurons_KCl_3h	Neural	
New_Oligod	EXCLUDE	
Nodose_Ganglion_Snap25	Neural	
NPC_a	EXCLUDE	
NPC_c	EXCLUDE	
NPC_d	EXCLUDE	
OligodPC	EXCLUDE	
Oocyte_a	Other	
Oocyte_b	Other	
Ovary_a	Other	
Ovary_b	Other	
PGC_E13_5	Other	
PGC_E9_5_11_5	Other	
Placenta_a	Other	
Placenta_c	Other	
Placenta_d	Other	
Prostate_a	Other	
Prostate_b	Other	
Retina_a	Neural	
Retina_b	Neural	
Retina_c	Neural	
Rods_a	Neural	
Skin_a	Other	
Skin_b	Other	
Skin_c	Other	
Spleen_a	Other	
Spleen_b	Other	
Spleen_c	Other	
Stomach_a	Other	
Stomach_b	Other	
Stomach_c	Other	
Testis_a	Other	
Testis_b	Other	
Testis_c	Other	
Thalamus	Neural	
Thymus_a	Other	
Thymus_b	Other	
Thymus_c	Other	
Thyroid_a	Other	
Thyroid_b	Other	
Uterus	Other	
Ventricular_Zone	EXCLUDE	
White_Adipose	Other	
Whole_Brain_a	Neural	
Whole_Brain_b	Neural	
Zygote_be_A	Other	
Zygote_c_A	Other	
